Service,Converted by our team,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,Comment
Hybrid Resource Provider,Yes,Microsoft.HybridCompute,hybridcompute,,NotStarted,NotStarted,NotStarted,NotStarted,specification/hybridcompute/resource-manager/Microsoft.HybridCompute/HybridCompute/tspconfig.yaml,2025-09-16-preview,sdk/hybridcompute/azure-resourcemanager-hybridcompute,2025-02-19-preview,,
Application Insights,Yes,Microsoft.Insights,monitor/Microsoft.Insights,,Done,NotStarted,NotStarted,NotStarted,,,,,,
Azure Log Analytics,Yes,Microsoft.OperationalInsights,operationalinsights,,NotStarted,NotStarted,NotStarted,NotStarted,,,,,,
Azure Policy,Yes,Microsoft.PolicyInsights,policyinsights,,NotStarted,NotStarted,NotStarted,Released,,,,,,
Reservations RP,Yes,Microsoft.Capacity,reservations,,NotStarted,NotStarted,NotStarted,NotStarted,,,,,,
Azure Resource Graph,Yes,Microsoft.ResourceGraph,resourcegraph,,NotStarted,NotStarted,NotStarted,NotStarted,,,,,,
Azure Resource Health,Yes,Microsoft.ResourceHealth,resourcehealth,,Done,NotStarted,NotStarted,NotStarted,specification/resourcehealth/resource-manager/Microsoft.ResourceHealth/ResourceHealth/tspconfig.yaml,2025-05-01,sdk/resourcehealth/azure-resourcemanager-resourcehealth,2023-10-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/49104,
Microsoft Defender for Cloud,Yes,Microsoft.Security,security,,NotStarted,NotStarted,NotStarted,NotStarted,,,,,,
SQL Control Plane,Yes,Microsoft.Sql,sql,,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,specification/sql/resource-manager/Microsoft.Sql/SQL/tspconfig.yaml,2025-02-01-preview,,,,
Avere Azure Storage Cache,Yes,Microsoft.StorageCache,storagecache,,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,specification/storagecache/resource-manager/Microsoft.StorageCache/StorageCache/tspconfig.yaml,2026-01-01,,,,
CAB provisioning,Yes,Microsoft.Subscription,subscription,,NotStarted,NotStarted,NotStarted,Released,specification/subscription/resource-manager/Microsoft.Subscription/Subscription/tspconfig.yaml,2025-11-01-preview,sdk/subscription/azure-resourcemanager-subscription,2021-10-01,,
Azure Resource Manager,Yes,Microsoft.Resources,resources/Microsoft.Resources/resources,Core lib,Premium,NotStarted,NotStarted,NotStarted,,,,,,
Azure Hybrid Data,Yes,Microsoft.AzureArcData,azurearcdata,,NotStarted,NotStarted,NotStarted,NotStarted,,,,,,
Azure Databricks,Yes,Microsoft.Databricks,databricks,,NotStarted,NotStarted,NotStarted,NotStarted,specification/databricks/resource-manager/Microsoft.Databricks/Databricks/tspconfig.yaml,2026-01-01,sdk/databricks/azure-resourcemanager-databricks,inconsistent,,
AKS Developer Hub,Yes,Microsoft.DevHub,developerhub,,NotStarted,NotStarted,NotStarted,NotStarted,specification/developerhub/resource-manager/Microsoft.DevHub/DeveloperHub/tspconfig.yaml,2025-03-01-preview,sdk/devhub/azure-resourcemanager-devhub,2022-10-11-preview,,
AAD Domain Services,Yes,Microsoft.AAD,domainservices,,Done,NotStarted,NotStarted,NotStarted,specification/domainservices/resource-manager/Microsoft.AAD/DomainServices/tspconfig.yaml,2025-10-01-preview,,not_released,,
Azure for Education,Yes,Microsoft.Education,education,,Done,NotStarted,NotStarted,NotStarted,specification/education/resource-manager/Microsoft.Education/Education/tspconfig.yaml,2021-12-01-preview,sdk/education/azure-resourcemanager-education,2021-12-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/49101,
Bare Metal Infrastructure,Yes,Microsoft.HanaOnAzure,hanaonazure,,NotStarted,NotStarted,NotStarted,NotStarted,specification/hanaonazure/resource-manager/Microsoft.HanaOnAzure/HanaOnAzure/tspconfig.yaml,2020-02-07-preview,sdk/hanaonazure/azure-resourcemanager-hanaonazure,2017-11-03-preview,,
Azure VM Image Builder,Yes,Microsoft.VirtualMachineImages,imagebuilder,,NotStarted,NotStarted,NotStarted,NotStarted,specification/imagebuilder/resource-manager/Microsoft.VirtualMachineImages/ImageBuilder/tspconfig.yaml,2025-10-01,sdk/imagebuilder/azure-resourcemanager-imagebuilder,2024-02-01,,
Azure Migrate,Yes,Microsoft.OffAzure,migrate/resource-manager/Microsoft.OffAzure,,Done,NotStarted,NotStarted,NotStarted,,,,,,
Quartz Governance Services (Power Platform),Yes,Microsoft.PowerPlatform,powerplatform,,Done,NotStarted,NotStarted,NotStarted,specification/powerplatform/resource-manager/Microsoft.PowerPlatform/PowerPlatform/tspconfig.yaml,2020-10-30-preview,,not_released,,
Azure Red Hat OpenShift,Yes,Microsoft.RedHatOpenshift,redhatopenshift,Done,NotStarted,NotStarted,NotStarted,NotStarted,specification/redhatopenshift/resource-manager/Microsoft.RedHatOpenShift/OpenShiftClusters/tspconfig.yaml,2025-07-25,sdk/redhatopenshift/azure-resourcemanager-redhatopenshift,2023-11-22,,
Azure Serial Console,Yes,Microsoft.SerialConsole,serialconsole,,Done,NotStarted,NotStarted,NotStarted,specification/serialconsole/resource-manager/Microsoft.SerialConsole/SerialConsole/tspconfig.yaml,2024-07-01,,not_released,,
Managed Application,Yes,Microsoft.Solutions,solutions,Done,NotStarted,NotStarted,NotStarted,NotStarted,,,,,,
Azure Deployments,Yes,Microsoft.Resources,resources/Microsoft.Resources/deployments,Done,Premium,NotStarted,NotStarted,NotStarted,,,,,,
Azure Resource Manager - DataBoundaries,Yes,Microsoft.Resources,resources/Microsoft.Resources/databoundaries,,Premium,NotStarted,NotStarted,NotStarted,,,,,,
Azure Resource Manager - Subscriptions,Yes,Microsoft.Resources,resources/Microsoft.Resources/subscriptions,Core lib,Premium,NotStarted,NotStarted,NotStarted,,,,,,
Azure Resource Manager - Bicep,No,Microsoft.Resources,resources/Microsoft.Resources/bicep,Done,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,specification/resources/resource-manager/Microsoft.Resources/bicep/tspconfig.yaml,2023-11-01,,,,
Azure Resource Manager - DeploymentStacks,No,Microsoft.Resources,resources/Microsoft.Resources/deploymentstakcs,Done,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,specification/resources/resource-manager/Microsoft.Resources/deploymentStacks/tspconfig.yaml,2025-07-01,,,,
Group RP,Yes,Microsoft.Management,management/Microsoft.Management/ServiceGroups,Done,AlreadyTypeSpec,NotStarted,NotStarted,NotStarted,specification/management/resource-manager/Microsoft.Management/ServiceGroups/tspconfig.yaml,2024-02-01-preview,,,,
Custom Location,Yes,Microsoft.ExtendedLocation,extendedlocation,,Done,NotStarted,NotStarted,NotStarted,specification/extendedlocation/resource-manager/Microsoft.ExtendedLocation/CustomLocations/tspconfig.yaml,2021-08-31-preview,sdk/extendedlocation/azure-resourcemanager-extendedlocation,2021-08-15,https://github.com/Azure/azure-sdk-for-java/pull/49102,
Azure IoT Hub,Yes,Microsoft.Devices,iothub,,Released,NotStarted,NotStarted,NotStarted,specification/iothub/resource-manager/Microsoft.Devices/IoTHub/tspconfig.yaml,2025-08-01-preview,sdk/iothub/azure-resourcemanager-iothub,2025-08-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/49106,
AgriculturePlatform,No,Microsoft.AgriculturePlatform,agricultureplatform,Done,Done,NotStarted,NotStarted,NotStarted,specification/agricultureplatform/AgriculturePlatform.Management/tspconfig.yaml,2024-06-01-preview,,not_released,,
ApiCenter,No,Microsoft.ApiCenter,apicenter,Done,NotStarted,NotStarted,NotStarted,NotStarted,specification/apicenter/ApiCenter.Management/tspconfig.yaml,2024-06-01-preview,sdk/apicenter/azure-resourcemanager-apicenter,2024-03-15-preview,,
AppComplianceAutomation,No,Microsoft.AppComplianceAutomation,appcomplianceautomation,Done,NotStarted,NotStarted,NotStarted,NotStarted,specification/appcomplianceautomation/AppComplianceAutomation.Management/tspconfig.yaml,2024-06-27,sdk/appcomplianceautomation/azure-resourcemanager-appcomplianceautomation,2024-06-27,,
AppNetwork,No,Microsoft.AppLink,applink,Done,Done,NotStarted,NotStarted,NotStarted,specification/applink/AppLink.Management/tspconfig.yaml,2025-08-01-preview,,not_released,,
ArizeAIObservabilityEval,No,ArizeAi.ObservabilityEval,liftrarize,Done,Done,NotStarted,,NotStarted,specification/liftrarize/ArizeAi.ObservabilityEval.Management/tspconfig.yaml,2024-10-01,,not_released,,
ArtifactSigning,No,Microsoft.CodeSigning,codesigning,Done,Done,NotStarted,,NotStarted,specification/codesigning/CodeSigning.Management/tspconfig.yaml,2025-10-13,,not_released,,
Astro,No,Astronomer.Astro,liftrastronomer,Done,Done,NotStarted,,NotStarted,specification/liftrastronomer/Astronomer.Astro.Management/tspconfig.yaml,2024-08-27,,not_released,,
Avs,No,Microsoft.AVS,vmware,Done,Done,NotStarted,,NotStarted,specification/vmware/resource-manager/Microsoft.AVS/AVS/tspconfig.yaml,2025-09-01,,not_released,,
Azure LargeInstance,No,Microsoft.AzureLargeInstance,azurelargeinstance,Done,Done,NotStarted,,NotStarted,specification/azurelargeinstance/resource-manager/Microsoft.AzureLargeInstance/AzureLargeInstance/tspconfig.yaml,2024-08-01-preview,,not_released,,
HCI VM,No,Microsoft.AzureStackHCI,azurestackhci,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/tspconfig.yaml,2026-04-01-preview,sdk/azurestackhci/azure-resourcemanager-azurestackhci,,,
CarbonOptimization,No,Microsoft.Carbon,carbon,Done,Done,NotStarted,,NotStarted,specification/carbon/Carbon.Management/tspconfig.yaml,2025-04-01,,not_released,,
Chaos,No,Microsoft.Chaos,chaos,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/chaos/resource-manager/Microsoft.Chaos/Chaos/tspconfig.yaml,2025-01-01,sdk/chaos/azure-resourcemanager-chaos,,,
CloudHealth,No,Microsoft.CloudHealth,cloudhealth,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/cloudhealth/CloudHealth.Management/tspconfig.yaml,2026-01-01-preview,sdk/cloudhealth/azure-resourcemanager-cloudhealth,,,
ComputeFleet,No,Microsoft.AzureFleet,azurefleet,Done,Done,NotStarted,,NotStarted,specification/azurefleet/resource-manager/Microsoft.AzureFleet/AzureFleet/tspconfig.yaml,2026-04-01-preview,,not_released,,
ComputeLimit,No,Microsoft.ComputeLimit,computelimit,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/computelimit/resource-manager/Microsoft.ComputeLimit/ComputeLimit/tspconfig.yaml,2026-04-30,sdk/computelimit/azure-resourcemanager-computelimit,,,
ComputeSchedule,No,Microsoft.ComputeSchedule,computeschedule,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/computeschedule/ComputeSchedule.Management/tspconfig.yaml,2026-04-15-preview,sdk/computeschedule/azure-resourcemanager-computeschedule,,,
ConnectedCache,No,Microsoft.ConnectedCache,connectedcache,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/connectedcache/ConnectedCache.Management/tspconfig.yaml,2024-11-30-preview,sdk/connectedcache/azure-resourcemanager-connectedcache,,,
ContainerOrchestratorRuntime,No,Microsoft.KubernetesRuntime,kubernetesruntime,Done,Done,NotStarted,,NotStarted,specification/kubernetesruntime/KubernetesRuntime.Management/tspconfig.yaml,2024-03-01,,not_released,,
Azure Container Registry Task,No,Microsoft.ContainerRegistry,containerregistry,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/containerregistry/resource-manager/Microsoft.ContainerRegistry/Registry/tspconfig.yaml,2026-01-01-preview,sdk/containerregistry/azure-resourcemanager-containerregistry,,,
DatabaseWatcher,No,Microsoft.DatabaseWatcher,databasewatcher,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/databasewatcher/DatabaseWatcher.Management/tspconfig.yaml,2025-01-02,sdk/databasewatcher/azure-resourcemanager-databasewatcher,,,
Dell Storage,No,Dell.Storage,dell,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/dell/Dell.Storage.Management/tspconfig.yaml,2025-03-21,sdk/dell/azure-resourcemanager-dell-storage,,,
DependencyMap,No,Microsoft.DependencyMap,azuredependencymap,Done,Done,NotStarted,,NotStarted,specification/azuredependencymap/DependencyMap.Management/tspconfig.yaml,2025-07-01-preview,,not_released,,
DesktopVirtualization,No,Microsoft.DesktopVirtualization,desktopvirtualization,Done,NotStarted,NotStarted,,NotStarted,specification/desktopvirtualization/resource-manager/Microsoft.DesktopVirtualization/DesktopVirtualization/tspconfig.yaml,2026-01-01-preview,sdk/desktopvirtualization/azure-resourcemanager-desktopvirtualization,2024-04-03,,
DeviceRegistry,No,Microsoft.DeviceRegistry,deviceregistry,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/deviceregistry/DeviceRegistry.Management/tspconfig.yaml,2026-11-01-preview,sdk/deviceregistry/azure-resourcemanager-deviceregistry,,,
DevOpsInfrastructure,No,Microsoft.DevOpsInfrastructure,devopsinfrastructure,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/devopsinfrastructure/Microsoft.DevOpsInfrastructure.Management/tspconfig.yaml,2025-09-20,sdk/devopsinfrastructure/azure-resourcemanager-devopsinfrastructure,,,
DevTestLabs,No,Microsoft.DevTestLab,devtestlabs,Done,NotStarted,NotStarted,,NotStarted,specification/devtestlabs/resource-manager/Microsoft.DevTestLab/DevTestLabs/tspconfig.yaml,2018-09-15,sdk/devtestlabs/azure-resourcemanager-devtestlabs,2018-09-15,,
DisconnectedOperations,No,Microsoft.Edge,edge,Done,Done,NotStarted,,NotStarted,specification/edge/Microsoft.Edge.DisconnectedOperations.Management/tspconfig.yaml,2026-03-15,,not_released,,
DurableTask,No,Microsoft.DurableTask,durabletask,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/durabletask/DurableTask.Management/tspconfig.yaml,2026-02-01,sdk/durabletask/azure-resourcemanager-durabletask,,,
EdgeActions,No,Microsoft.Edge,edge,Done,Done,NotStarted,,NotStarted,specification/edge/Microsoft.Edge.Management/tspconfig.yaml,2025-06-01,,not_released,,
EdgeZones,No,Microsoft.EdgeZones,edgezones,Done,NotStarted,NotStarted,,NotStarted,specification/edgezones/EdgeZones.Management/tspconfig.yaml,2024-04-01-preview,sdk/edgezones/azure-resourcemanager-edgezones,2024-04-01-preview,,
FileShares,No,Microsoft.FileShares,fileshares,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/fileshares/resource-manager/Microsoft.FileShares/FileShares/tspconfig.yaml,2025-09-01-preview,sdk/fileshares/azure-resourcemanager-fileshares,,,
ContainerServiceFleet,No,Microsoft.ContainerService,containerservice,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/containerservice/resource-manager/Microsoft.ContainerService/fleet/tspconfig.yaml,2026-02-01-preview,sdk/containerservice/azure-resourcemanager-containerservicefleet,,,
HealthDataAIServices,No,Microsoft.HealthDataAIServices,healthdataaiservices,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/healthdataaiservices/HealthDataAIServices.Management/tspconfig.yaml,2024-09-20,sdk/healthdataaiservices/azure-resourcemanager-healthdataaiservices,,,
HybridConnectivity,No,Microsoft.HybridConnectivity,hybridconnectivity,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/hybridconnectivity/HybridConnectivity.Management/tspconfig.yaml,2024-12-01,sdk/hybridconnectivity/azure-resourcemanager-hybridconnectivity,,,
ImpactReporting,No,Microsoft.Impact,impact,Done,Done,NotStarted,,NotStarted,specification/impact/Impact.Management/tspconfig.yaml,2026-01-01-preview,,not_released,,
InformaticaDataManagement,No,Informatica.DataManagement,informatica,Done,Done,NotStarted,,NotStarted,specification/informatica/Informatica.DataManagement.Management/tspconfig.yaml,2025-11-27,,not_released,,
IotOperations,No,Microsoft.IoTOperations,iotoperations,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/iotoperations/IoTOperations.Management/tspconfig.yaml,2026-03-01,sdk/iotoperations/azure-resourcemanager-iotoperations,,,
LambdaTestHyperExecute,No,LambdaTest.HyperExecute,liftrhyperexecute,Done,Done,NotStarted,,NotStarted,specification/liftrhyperexecute/LambdaTest.HyperExecute.Management/tspconfig.yaml,2024-02-01,,not_released,,
LoadTesting,No,Microsoft.LoadTestService,loadtestservice,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/loadtestservice/resource-manager/Microsoft.LoadTestService/loadtesting/tspconfig.yaml,2024-12-01-preview,sdk/loadtestservice/azure-resourcemanager-loadtesting,,,
ManagedOps,No,Microsoft.ManagedOps,managedoperations,Done,Done,NotStarted,,NotStarted,specification/managedoperations/ManagedOps.Management/tspconfig.yaml,2025-07-28-preview,,not_released,,
MongoCluster,No,Microsoft.DocumentDB,mongocluster,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/mongocluster/resource-manager/Microsoft.DocumentDB/MongoCluster/tspconfig.yaml,2025-09-01,sdk/mongocluster/azure-resourcemanager-mongocluster,,,
MongoDBAtlas,No,MongoDB.Atlas,liftrmongodb,Done,Done,NotStarted,,NotStarted,specification/liftrmongodb/MongoDB.Atlas.Management/tspconfig.yaml,2025-06-01,,not_released,,
OnlineExperimentation,No,Microsoft.OnlineExperimentation,onlineexperimentation,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/onlineexperimentation/OnlineExperimentation.Management/tspconfig.yaml,2025-08-01-preview,sdk/onlineexperimentation/azure-resourcemanager-onlineexperimentation,,,
PineconeVectorDB,No,Pinecone.VectorDb,liftrpinecone,Done,Done,NotStarted,,NotStarted,specification/liftrpinecone/Pinecone.VectorDb.Management/tspconfig.yaml,2024-10-22-preview,,not_released,,
PlanetaryComputer,No,Microsoft.Orbital,orbitalplanetarycomputer,Done,Done,NotStarted,,NotStarted,specification/orbitalplanetarycomputer/Orbital.Management/tspconfig.yaml,2026-04-15,,not_released,,
Playwright,No,Microsoft.AzurePlaywrightService,playwrighttesting,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/playwrighttesting/PlaywrightTesting.Management/tspconfig.yaml,2024-12-01,sdk/playwrighttesting/azure-resourcemanager-playwrighttesting,,,
PortalServicesCopilot,No,Microsoft.PortalServices,portalservices,Done,Done,NotStarted,,NotStarted,specification/portalservices/CopilotSettings.Management/tspconfig.yaml,2024-04-01-preview,,not_released,,
PureStorageBlock,No,PureStorage.Block,purestorage,Done,Done,NotStarted,,NotStarted,specification/purestorage/PureStorage.Block.Management/tspconfig.yaml,2026-01-01-preview,,not_released,,
Quantum,No,Microsoft.Quantum,quantum,Done,NotStarted,NotStarted,,NotStarted,specification/quantum/Microsoft.Quantum.Management/tspconfig.yaml,2025-12-15-preview,sdk/quantum/azure-resourcemanager-quantum,2023-11-13-preview,,
Qumulo,No,Qumulo.Storage,liftrqumulo,Done,Done,NotStarted,,NotStarted,specification/liftrqumulo/Qumulo.Storage.Management/tspconfig.yaml,2024-06-19,,not_released,,
RecoveryServicesDataReplication,No,Microsoft.DataReplication,recoveryservicesdatareplication,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/recoveryservicesdatareplication/resource-manager/Microsoft.DataReplication/DataReplication/tspconfig.yaml,2024-09-01,sdk/recoveryservicesdatareplication/azure-resourcemanager-recoveryservicesdatareplication,,,
Relationships,No,Microsoft.Relationships,relationships,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/relationships/Relationships.Management/tspconfig.yaml,2023-09-01-preview,sdk/relationships/azure-resourcemanager-relationships,,,
SecretsStoreExtension,No,Microsoft.SecretSyncController,ews,Done,Done,NotStarted,,NotStarted,specification/ews/SecretSyncController.Management/tspconfig.yaml,2024-08-21-preview,,not_released,,
ServiceNetworking,No,Microsoft.ServiceNetworking,servicenetworking,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/servicenetworking/resource-manager/Microsoft.ServiceNetworking/ServiceNetworking/tspconfig.yaml,2025-03-01-preview,sdk/servicenetworking/azure-resourcemanager-servicenetworking,,,
SiteManager,No,Microsoft.Edge,edge,Done,Done,NotStarted,,NotStarted,specification/edge/Microsoft.Edge.Sites.Management/tspconfig.yaml,2025-06-01,,not_released,,
Sphere,No,Microsoft.AzureSphere,sphere,Done,NotStarted,NotStarted,,NotStarted,specification/sphere/Sphere.Management/tspconfig.yaml,2024-04-01,sdk/sphere/azure-resourcemanager-sphere,inconsistent,,
StandbyPool,No,Microsoft.StandbyPool,standbypool,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/standbypool/StandbyPool.Management/tspconfig.yaml,2025-10-01,sdk/standbypool/azure-resourcemanager-standbypool,,,
StorageDiscovery,No,Microsoft.StorageDiscovery,storagediscovery,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/storagediscovery/Microsoft.StorageDiscovery.Management/tspconfig.yaml,2025-09-01,sdk/storagediscovery/azure-resourcemanager-storagediscovery,,,
Terraform,No,Microsoft.AzureTerraform,terraform,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/terraform/Microsoft.AzureTerraform.Management/tspconfig.yaml,2025-09-01-preview,sdk/terraform/azure-resourcemanager-terraform,,,
TrustedSigning,No,Microsoft.CodeSigning,codesigning,Done,Done,NotStarted,,NotStarted,specification/codesigning/CodeSigning.Management/tspconfig.yaml,2025-10-13,,not_released,,
VirtualEnclaves,No,,,Done,,NotStarted,,NotStarted,,,,,,
WeightsAndBiases,No,Microsoft.WeightsAndBiases,liftrweightsandbiases,Done,Done,NotStarted,,NotStarted,specification/liftrweightsandbiases/Liftr.WeightsAndBiases.Management/tspconfig.yaml,2024-09-18,,not_released,,
WorkloadOrchestration,No,Microsoft.Edge,edge,Done,AlreadyTypeSpec,,,NotStarted,specification/edge/Microsoft.Edge.ConfigurationManager.Management/tspconfig.yaml,2025-08-01,sdk/workloadorchestration/azure-resourcemanager-workloadorchestration,,,
WorkloadsSapVirtualInstance,No,Microsoft.Workloads,workloads,Done,AlreadyTypeSpec,NotStarted,,NotStarted,specification/workloads/Workloads.SAPVirtualInstance.Management/tspconfig.yaml,2024-09-01,sdk/workloadssapvirtualinstance/azure-resourcemanager-workloadssapvirtualinstance,,,
Azure Site Recovery,Yes,Microsoft.RecoveryServices,recoveryservices,,AlreadyTypeSpec,Released,Released,NotStarted,,,,,,
Azure Network,Yes,Microsoft.Network,network,,Done,,,,,,,,,
