Service,Converted by our team,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,Comment
DevCenter,Yes,Microsoft.DevCenter,devcenter,Done,Done,Released,NotStarted,NotStarted,specification/devcenter/DevCenter.Management/tspconfig.yaml,2026-01-01-preview,sdk/devcenter/azure-resourcemanager-devcenter,2024-02-01,https://github.com/Azure/azure-sdk-for-java/pull/48299,
Azure DNS Private Resolver,Yes,Microsoft.Network,dnsresolver,Done,AlreadyTypeSpec,Released,NotStarted,Released,,,,,,
Liftr-Elastic,Yes,Microsoft.Elastic,elastic,Done,Released,Released,NotStarted,ToRelease,specification/elastic/Elastic.Management/tspconfig.yaml,2025-06-01,sdk/elastic/azure-resourcemanager-elastic,2025-06-01,https://github.com/Azure/azure-sdk-for-java/pull/48206,
Microsoft Health Agent - HealthBot,Yes,Microsoft.HealthBot,healthbot,Done,AlreadyTypeSpec,Released,Released,ToRelease,,,,,,
Azure Key Vault,Yes,Microsoft.KeyVault,keyvault,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Managed Service Identity,Yes,microsoft.managedidentity,msi,Done,Done,NotStarted,NotStarted,Released,,,,,,
Azure Database for MySQL - Flexible Server,Yes,microsoft.dbformysql,mysql,Done,Done,Released,NotStarted,NotStarted,specification/mysql/resource-manager/Microsoft.DBforMySQL/FlexibleServers/tspconfig.yaml,2025-06-01-preview,sdk/mysql/azure-resourcemanager-mysql,inconsistent,https://github.com/Azure/azure-sdk-for-java/pull/48295,
Liftr-Nginx,Yes,nginx.nginxplus,nginx,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Azure Cosmos DB for PostgreSQL,Yes,microsoft.dbforpostgresql,postgresqlhsc,Done,Released,Released,NotStarted,NotStarted,specification/postgresqlhsc/resource-manager/Microsoft.DBforPostgreSQL/PostgresqlHsc/tspconfig.yaml,2023-03-02-preview,sdk/cosmosdbforpostgresql/azure-resourcemanager-cosmosdbforpostgresql,2023-03-02-preview,https://github.com/Azure/azure-sdk-for-java/pull/48228,
QuotaManagement,Yes,Microsoft.Quota,quota,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Backup (MAB),Yes,microsoft.recoveryservices,recoveryservicesbackup,Done,AlreadyTypeSpec,Released,Released,ToRelease,,,,,,
Redis Cache,Yes,microsoft.cache,redis,Done,Done,NotStarted,NotStarted,ToRelease,,,,,,
Service Bus,Yes,microsoft.relay,relay,Done,Done,Released,NotStarted,NotStarted,specification/relay/resource-manager/Microsoft.Relay/Relay/tspconfig.yaml,2024-01-01,sdk/relay/azure-resourcemanager-relay,2017-04-01,https://github.com/Azure/azure-sdk-for-java/pull/48303,
Service Bus,Yes,microsoft.servicebus,servicebus,Done,Done,Released,NotStarted,NotStarted,,,,,,
Azure SignalR Service,Yes,Microsoft.SignalRService,signalr,Done,Done,Released,NotStarted,NotStarted,specification/signalr/resource-manager/Microsoft.SignalRService/SignalRService/tspconfig.yaml,2025-01-01-preview,sdk/signalr/azure-resourcemanager-signalr,2023-02-01,https://github.com/Azure/azure-sdk-for-java/pull/48291,
SRP,Yes,microsoft.storage,storage,Done,Done,NotStarted,NotStarted,Released,,,,,https://github.com/Azure/azure-sdk-for-java/pull/48551,
Azure Storage Mover,Yes,Microsoft.StorageMover,storagemover,Done,AlreadyTypeSpec,Released,Released,ToRelease,,,,,,
Xsync,Yes,microsoft.storagesync,storagesync,Done,Done,Released,NotStarted,NotStarted,specification/storagesync/resource-manager/Microsoft.StorageSync/StorageSync/tspconfig.yaml,2022-09-01,sdk/storagesync/azure-resourcemanager-storagesync,not_released,https://github.com/Azure/azure-sdk-for-java/pull/48301,
Azure Support Case Mgmt,Yes,microsoft.support,support,Done,Done,Released,NotStarted,ToRelease,specification/support/resource-manager/Microsoft.Support/Support/tspconfig.yaml,2025-06-01-preview,sdk/support/azure-resourcemanager-support,2024-04-01,https://github.com/Azure/azure-sdk-for-java/pull/48296,
Azure SignalR Service,Yes,Microsoft.SignalRService,webpubsub,Done,Done,Released,NotStarted,NotStarted,specification/webpubsub/resource-manager/Microsoft.SignalRService/SignalRService/tspconfig.yaml,2025-08-01-preview,sdk/webpubsub/azure-resourcemanager-webpubsub,2024-03-01,https://github.com/Azure/azure-sdk-for-java/pull/48302,
Compute Recommender,No,,compute/Recommender,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Liftr-Dynatrace,Yes,dynatrace.observability,dynatrace,Done,Done,Released,NotStarted,NotStarted,specification/dynatrace/Dynatrace.Management/tspconfig.yaml,2024-04-24,sdk/dynatrace/azure-resourcemanager-dynatrace,2023-04-27,https://github.com/Azure/azure-sdk-for-java/pull/48294,
Azure App Configuration,Yes,Microsoft.AppConfiguration,appconfiguration,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
